,Height Range(CM),Weight Range(Kg),Distance(Km),Avg Speed(Km/h),Total Ascent(m),Avg Grade(%),Wh/km,Power Assistance Level,Wind speed(Km/h),Wind Direction,Weather,Precipitation(mm),Temperature(° C)
0,170.952194,57.5,3.970724219,18.04530233,28,2.056911698,14.94221544,3,29.17028139,S,Clear,0.303808666,15.30275818
1,172.3395222,64.13808691,2.189500862,12.82380676,13,1.649611838,16.51415718,3,22.22288472,S,Clear,0.351950832,12.02261403
2,171.2807747,57.5,0.373965619,12.60915732,1,1.871458848,17.36115378,2,18.50579538,S,Patchy rain possible,0,10.79555576
3,174.2060055,66.3898532,3.741940759,14.83968263,19,1.764115076,15.00712046,2,12.76157591,WSW,Clear,0.117409556,11.59813837
4,175.022458,67.30877299,0.951845552,20.70570865,10,2.013230506,12.96530906,5,20.85048408,WSW,Cloudy,0,13.32021656
5,176.3538071,71.33162118,4.302462989,15.45440484,23,2.014121049,32.76028586,3,10.09963978,SSE,Patchy rain possible,0.463511806,12.63424957
6,171.8295906,60.42919602,1.387255565,16.19808112,18,1.927560604,6.372393141,2,34.66296486,S,Clear,0,13.0750116
7,174.4524884,75.33479466,0.597727564,14.74542254,12,1.850394284,6.469864684,2,14.53877527,S,Light drizzle,0,9.4
8,176.9939338,74.48943346,4.10895928,16.00898974,26,1.915423478,2.119272379,2,24.12080674,S,Light drizzle,0.151740259,13.44565826
9,175.6606748,64.93072575,0.705145114,15.40792099,0,1.5,2.02068779,4,11.98602986,WSW,Cloudy,0,11.4361422
10,172.3914368,64.20533135,4.954149482,18.25103197,26,2.217797556,10.24553879,3,18.12007953,S,Light drizzle,0.454723275,10.14894103
11,177.981183,73.14298582,1.736948499,14.10156941,0,1.5,1.81,2,6.1,S,Clear,0,10.89032875
12,173.2984104,57.5,6.045149493,19.76860968,38,2.261072207,23.3478663,5,31.97930975,WSW,Patchy rain possible,0.500763942,15.92235763
13,169.9,57.5,5.127290715,15.97841475,28,2.02356371,19.81501157,4,6.1,S,Overcast,0,9.83625227
14,174.9819144,75.0919968,0.3,13.12008106,0,1.62208477,1.81,2,18.89083658,S,Clear,0,12.01307065
15,172.1505848,57.5,2.720515757,20.25271335,10,1.963778631,1.81,4,12.43776892,S,Cloudy,0,11.53989849
16,174.7310867,61.59584772,2.1319319,15.77649655,16,2.011003873,1.81,2,23.22306637,WSW,Clear,0,13.57629918
17,174.196851,70.73059908,0.915443665,16.75438559,0,1.545552192,1.81,5,8.523315311,S,Clear,0,9.885094937
18,172.2136106,62.61489499,1.147097826,10.9,0,1.506366792,17.70327367,1,16.92201364,S,Clear,0.070442451,9.752863305
19,171.6960157,57.5,2.843584438,18.58898703,17,2.044909676,25.98052337,5,13.56297276,WSW,Patchy rain possible,0.201388955,12.62146563
20,176.8874972,71.60069468,3.203819433,14.39219305,25,2.053253683,7.129529673,2,33.94772949,WSW,Clear,0.204102451,15.99617576
21,171.344012,57.5,4.959150031,18.12558111,24,2.185634501,13.57900041,4,19.04346953,S,Light drizzle,0.036685394,12.5917946
22,174.6034909,63.59706379,4.277332502,17.3926692,23,2.033316123,13.01586314,3,14.36742033,S,Overcast,0,12.33621502
23,171.2940576,64.71304196,3.853818503,15.33357793,13,1.5,7.6008698,4,9.417992181,S,Patchy rain possible,0.199606977,10.64136573
24,169.9,57.5,1.604268665,16.75196873,5,1.713945948,11.88693437,3,9.474747286,S,Cloudy,0,9.4
25,169.9,57.5,2.138829005,18.19947116,13,1.986034314,15.80637014,5,27.58209685,S,Partly cloudy,0.110146726,13.63175565
26,173.6928728,59.29539212,2.190970397,17.23165515,12,1.518785591,16.41234853,4,17.81778915,WSW,Clear,0.262700254,13.83334159
27,175.1571895,74.90577698,2.19586437,15.52395049,4,1.518805689,4.222220631,3,12.63319506,S,Patchy rain possible,0.133407148,11.70733093
28,173.1576107,74.60963599,3.297870618,10.9,12,1.547782507,2.716053869,2,17.1490353,S,Cloudy,0.176690425,11.79150318
29,176.9231003,68.97237663,3.763224239,13.93560192,19,1.832092987,20.42597979,2,29.54842867,WSW,Partly cloudy,0.772486,16.9
30,175.2706248,77.46971862,2.016531379,14.9539357,17,1.828682185,9.699778828,3,29.1948453,WSW,Patchy rain possible,0,12.29535522
31,173.6854638,65.10057728,4.56069881,15.99097741,35,2.163005162,13.65261738,3,23.97768782,WSW,Cloudy,0.300457436,12.40509328
32,176.9740462,72.65967512,1.557414252,12.62647588,4,1.628870018,1.81,2,11.38100307,WSW,Cloudy,0.03698684,11.18282256
33,175.3019689,63.72455959,4.883912859,16.48822939,21,1.960999125,26.19340369,4,27.10767403,W,Clear,0.395894341,14.51709569
34,169.9543818,57.5,0.3,17.77425393,0,1.594032653,18.22354548,4,6.1,S,Patchy rain possible,0,9.4
