trip_id,height_range (cm),weight_range (kg),starting_point,destination_point,duration(s),distance (km),starting_soc,ending_soc,soc/distance,wh/km,average_speed (m/s),average_speed (km/h),start_altitude (m),end_altitude (m),wind_speed (m/s),wind_direction,weather,altitude_difference (m),slope
1.0,180-190,90-100,"53.391607, -6.263688","53.385628, -6.257041",273.0,1.2,97.0,91.0,5.0,22.3,4.4,15.84,57.220276,50.524553,3.0,E,Dry,-6.695723,-0.0055798560284704000
2.0,180-190,90-100,"53.391526, -6.263607","51,53.385103,-6.255835",300.0,1.2,98.0,94.0,3.33,14.718,4.0,14.4,56.890411,49.833059,8.6,W,Dry,-7.057352,-0.005881228376483040
3.0,180-190,90-100,"53.385759, -6.255561","53.3857073, -6.255505364",622.0,2.4,97.0,87.0,4.17,18.59,3.86,13.896,50.325636,46.367372,3.0,WE,Dry,-3.958264,-0.001649278909781130
4.0,180-190,90-100,"53.391607, -6.263688","53.385145, -6.253623",658.0,2.6,87.0,75.0,4.62,20.6052,3.95,14.22,46.29473,51.393469,4.0,WE,Wet,5.098739,0.0019610572323910700
5.0,180-190,90-100,"53.385838, -6.25619","53.38513896, -6.253523212",260.0,1.1,92.0,84.0,7.27,32.42,4.23,15.228,49.5432671,50.0987654,4.6,S,Dry,0.5554983,0.0005049985189386850
6.0,160-170,40-50,"53.385194, -6.25591","53.391494, -6.26338",343.0,1.4,86.0,75.0,7.86,35.06,4.08,14.688,51.479923,56.855907,2.1,WSW,Dry,5.375984,0.0038400168830408900
7.0,160-170,40-50,"53.391494, -6.26338","53.391532, -6.263165",325.0,1.4,79.0,71.0,5.71,25.47,4.31,15.516,50.123578,49.3874592,2.0,WSW,Dry,-0.7361188,-0.0005257992155396190
8.0,160-170,40-50,"53.38603, -6.256422","53.386095, -6.256474",362.0,1.4,76.0,70.0,4.29,19.13,3.87,13.932,54.260107,51.053453,4.6,SE,Wet,-3.206654,-0.002290473151050650
9.0,160-170,40-50,"53.386169, -6.256644","53.385759, -6.255795",483.0,1.8,69.0,63.0,3.33,14.85,3.73,13.428,52.064305,50.772362,4.6,SE,Wet,-1.291943,-0.0007177462959880370
10.0,160-170,40-50,"53.385172, -6.255808","53.391475, -6.263179",347.0,1.4,63.0,47.0,4.29,19.13,4.03,14.508,51.695053,56.856192,7.0,WE,Dry,5.161139,0.0036865529082538400
11.0,180-190,90-100,"53.391588, -6.263239","53.391532, -6.263165",309.0,1.3,52.0,41.0,8.46,37.73,4.21,15.156,56.789695,50.285013,6.0,E,Dry,-6.504682,-0.005003664174792660
12.0,180-190,90-100,"53.385189, -6.255819","53.391461, -6.26304",414.0,1.3,96.0,84.0,9.23,41.17,3.14,11.304,52.587936,56.933122,7.8,SSE,Wet,4.345186,0.003342469440279010
13.0,180-190,90-100,"53.391499, -6.263403","53.385186,-6.256004",280.0,1.3,88.0,77.0,8.46,37.73,4.64,16.704,57.451241,50.128865,7.0,SSE,Wet,-7.322376,-0.0056326862755051200
14.0,180-190,90-100,"53.391631, -6.263707","53.385215, -6.255845",270.0,1.3,75.0,64.0,8.46,37.73,4.81,17.316,57.476566,50.403181,5.8,SSE,Wet,-7.073385,-0.005441145928297890
15.0,180-190,90-100,"53.385229, -6.253653","53.384556, -6.258546",361.0,2.9,68.0,40.0,9.66,43.08,8.03,28.908,50.593099,49.592263,5.6,SSE,Wet,-1.000836,-0.0003451158826214720
16.0,180-190,90-100,"53.384557, -6.258551","53.385137, -6.255868",562.0,2.2,41.0,28.0,5.91,26.36,3.91,14.076,49.721351,50.795805,5.6,SSE,Wet,1.074454,0.0004883882400641050
17.0,180-190,90-100,"53.385119, -6.255801","53.391509, -6.263341",722.0,1.2,100.0,96.0,3.33,14.85,1.66,5.976,52.918556,57.059279,5.0,E,Dry,4.140723,0.003450623042754710
18.0,170-180,50-60,"53.384937, -6.259082","53.38492, -6.258789",348.0,1.0,96.0,94.0,2.0,8.92,2.87,10.33,50.764919,50.693842,6.39,W,Dry,-0.071077,-7.10770001795409E-05
19.0,170-180,50-60,"53.38494, -6.258938","53.385175, -6.255951",310.0,0.8,96.0,94.0,2.5,11.15,2.58,9.29,55.402248,50.731342,6.39,W,Dry,-4.670906,-0.005838732020953750
20.0,170-180,50-60,"53.384644, -6.258695","53.385142, -6.255584",308.0,1.0,94.0,91.0,3.0,13.38,3.24,11.66,50.641384,49.884962,6.39,W,Dry,-0.756422,-0.0007564222164026860
21.0,170-180,50-60,"53.384478, -6.253919","53.384748, -6.25862",375.0,1.3,91.0,88.0,2.31,10.3026,3.47,12.49,48.21925,48.430649,6.39,W,Dry,0.211399,0.00016261461753466600
22.0,170-180,50-60,"53.385053, -6.255775","53.385254,  -6.256038",392.0,1.4,89.0,83.0,3.57,15.92,3.57,12.85,49.980557,50.114002,7.69,W,Dry,0.133445,9.53178575758634E-05
23.0,170-180,50-60,"53.38528, -6.256035","53.385252, -6.255857",314.0,1.0,83.0,80.0,3.0,13.38,3.18,11.45,47.138515,50.594017,7.69,W,Dry,3.455502,0.003455522630385330
24.0,170-180,50-60,"53.385212, -6.256037","53.385658, -6.256846",306.0,1.5,81.0,78.0,4.9,21.854,4.9,17.64,51.859341,49.676921,7.31,W,Dry,-2.18242,-0.0014549482066354400
25.0,160-170,40-50,"53.385429, -6.256442","53.385694, -6.255617",320.0,1.3,82.0,76.0,4.62,20.61,4.06,14.62,51.457732,50.129441,7.31,W,Dry,-1.328291,-0.0010217628410517400
26.0,160-170,40-50,"53.385785, -6.255675","53.383752, -6.258765",329.0,1.4,76.0,73.0,2.14,9.94,4.26,15.34,56.091335,47.482257,7.31,W,Dry,-8.609078,-0.006149457698697230
